diameter	time	biomass
10-20	0	1.1673
10-20	0	1.0586
10-20	0	1.0253
10-20	0	1.1431
10-20	0	0.9341
10-20	0	0.9336
10-20	0	0.9614
10-20	0	0.9061
10-20	0	1.0375
10-20	0	0.9993
10-20	0	0.9320
10-20	0	0.9081
10-20	0	0.9310
10-20	0	0.9986
10-20	0	1.0640
10-20	2	0.7751
10-20	2	0.7293
10-20	2	0.7114
10-20	2	0.7965
10-20	2	0.7440
10-20	2	0.7115
10-20	2	0.7236
10-20	2	0.7521
10-20	4	0.4267
10-20	4	0.4526
10-20	4	0.5826
10-20	4	0.4894
10-20	4	0.4825
10-20	4	0.5362
10-20	4	0.5974
10-20	4	0.5065
10-20	4	0.5428
20-40	0	1.1359
20-40	0	1.1470
20-40	0	0.8986
20-40	0	1.0066
20-40	0	0.8591
20-40	0	1.0029
20-40	0	0.9949
20-40	0	0.9753
20-40	0	0.9657
20-40	0	1.0072
20-40	0	0.9807
20-40	0	0.9991
20-40	0	1.0269
20-40	2	0.7388
20-40	2	0.8300
20-40	2	0.8041
20-40	2	0.8521
20-40	2	0.7994
20-40	2	0.6633
20-40	2	0.8058
20-40	2	0.7528
20-40	4	0.7206
20-40	4	0.6364
20-40	4	0.6105
20-40	4	0.6710
20-40	4	0.7292
20-40	8	0.5808
20-40	8	0.5676
20-40	8	0.3705
20-40	8	0.3360
20-40	8	0.4500
20-40	8	0.5739
20-40	10	0.4937
20-40	10	0.2414
20-40	10	0.2566
