pH	lat	long	soil	texture	age	tempsum	NH4	NO3	s
4.32	60.48	12.64	3	4	7	0.3	194.29273134	306.15348369	229.47762358
4.07	60.52	12.82	3	5	45	0.36	156.7963903	260.97510477	194.24294402
3.94	60.45	13.37	3	4	10	0.36	171.40368538	293.20253879	213.25432715
4.04	60.45	13.37	3	4	55	0.38	171.40368538	293.20253879	213.25432715
5.13	60.88	12.42	3	5	30	0.23	168.10526391	256.37730515	205.05847497
4.01	60.93	12.6	3	3	5	0.21	168.10526391	256.37730515	205.05847497
3.64	61.78	12.94	2	4	95	0.22	92.327243391	155.48273326	102.93466396
3.8	62.07	14.11	2	5	65	0.27	94.968836343	163.7930419	104.68111648
4.98	62.13	14.35	3	5	38	0.22	94.968836343	163.7930419	104.68111648
3.77	62.12	14.35	3	4	12	0.23	94.968836343	163.7930419	104.68111648
3.61	62.3	14.82	3	6	27	0.3	78.419613471	145.85876759	89.961016685
4.46	63.06	14.54	3	6	7	0.21	83.588568328	113.90263231	70.937158896
5.38	63.12	14.3	2	6	85	0.25	83.588568328	113.90263231	70.937158896
4.83	63.51	14.28	3	6	175	0.21	70.980316563	118.971635	72.883205988
4.84	60.1	14.66	3	5	105	0.39	198.10519252	337.62413702	222.66022143
3.52	60.1	14.66	3	5	105	0.39	198.10519252	337.62413702	222.66022143
3.97	60.49	13.55	3	4	55	0.3	162.87919353	284.39246932	185.15515359
3.79	60.54	13.73	3	4	85	0.33	162.87919353	284.39246932	185.15515359
3.36	60.56	14.64	3	5	75	0.31	143.27429016	247.73858225	162.78184937
4.15	60.6	14.82	3	4	17	0.38	143.27429016	247.73858225	162.78184937
4.57	60.9	13.34	3	5	14	0.26	130.55180735	223.07895507	148.74785592
4.12	60.89	13.34	3	7	155	0.21	130.55180735	223.07895507	148.74785592
3.13	60.94	13.52	3	5	95	0.23	130.55180735	223.07895507	148.74785592
3.61	61	13.7	2	5	85	0.26	130.55180735	223.07895507	148.74785592
3.57	61.05	13.88	3	5	105	0.3	130.55180735	223.07895507	148.74785592
5.03	61.04	13.88	3	5	115	0.31	130.55180735	223.07895507	148.74785592
3.53	61.04	13.88	3	5	115	0.31	130.55180735	223.07895507	148.74785592
3.48	61.3	13.12	3	5	125	0.27	137.43422791	215.46831159	157.12459068
3.88	61.29	13.12	1	6	55	0.32	137.43422791	215.46831159	157.12459068
3.25	61.35	13.3	2	5	105	0.26	137.43422791	215.46831159	157.12459068
3.48	61.32	14.05	3	5	145	0.28	120.39952309	207.5720905	136.63496024
3.76	61.31	14.05	3	5	12	0.32	120.39952309	207.5720905	136.63496024
3.6	61.51	14.79	3	5	45	0.35	103.67895364	185.6825662	122.71323873
3.67	61.5	14.79	3	4	95	0.38	103.67895364	185.6825662	122.71323873
3.71	61.32	14.99	3	5	10	0.36	103.67895364	185.6825662	122.71323873
3.93	62.03	14.74	3	5	5	0.3	91.527626065	158.85254914	91.376890691
5.06	62.49	14.47	3	5	12	0.23	76.249223586	128.79550501	72.883205988
4.18	62.49	14.47	3	5	12	0.23	76.249223586	128.79550501	72.883205988
3.81	63.29	13.94	3	6	135	0.26	80.67567664	106.59184533	60.408545143
4.48	63.28	13.94	3	5	38	0.25	80.67567664	106.59184533	60.408545143
6.18	63.38	14.43	3	7	135	0.22	80.67567664	106.59184533	60.408545143
4.11	60.3	12.66	3	5	25	0.38	177.55788301	285.50622202	169.0004678
4.78	60.37	13.74	3	5	19	0.35	154.35470168	275.58239985	157.05598004
3.45	60.37	13.74	3	5	19	0.35	154.35470168	275.58239985	157.05598004
4.1	60.29	14.29	3	5	125	0.38	187.6958884	327.62892045	188.11788554
3.71	60.39	13.01	3	5	19	0.36	138.14817195	242.38400194	141.15078746
3.49	60.42	13.92	3	6	85	0.39	154.35470168	275.58239985	157.05598004
4.95	60.41	13.92	3	4	13	0.36	154.35470168	275.58239985	157.05598004
